state_abbr,f_Outcome_Domain,findings_n
NC,General Literacy Achievement,3
NC,General Mathematics Achievement,35
NC,General academic achievement (college),4
NC,High School Completion,9
NC,"Industry-Recognized Credential, Certificate, or License",3
NC,Instructional practice,1
NC,Intrapersonal Competencies,19
NC,Language,2
NC,Literacy Achievement,9
NC,Oral language,2
NC,Phonological processing,1
NC,Postsecondary degree attainment,3
NC,Print knowledge,3
NC,Problem behavior,3
NC,Progressing in College,26
NC,Progressing in school,1
NC,Progressing in school (secondary school),4
NC,Reading achievement,5
NC,School Climate,8
NC,School engagement,8
NC,School leader retention at the school,1
NC,Science Achievement,139
NC,Secondary school academic achievement,1
NC,Social Studies Achievement,4
NC,Social outcomes,6
NC,Social-emotional competence,14
NC,Student Behavior,1
NC,Student Discipline,16
NC,Student emotional status,5
NC,Student engagement in school,5
NC,Student progression,2
ND,College Readiness,1
NE,Academic achievement,4
NE,Alphabetics,3
NE,Cognition,9
NE,College Degree Attainment,2
NE,College Enrollment,5
NE,Comprehension,9
NE,Expressive Communication,4
NE,Functional Skills,16
NE,General Mathematics Achievement,1
NE,High School Completion,1
NE,Literacy Achievement,1
NE,Receptive Communication,4
NE,Writing Conventions,1
NE,Writing Quality,3
NH,Academic achievement,4
NH,College Enrollment,1
NH,Completing school,1
NH,General Literacy Achievement,1
NH,General Mathematics Achievement,1
NJ,Academic achievement,4
NJ,Algebra,6
NJ,College Degree Attainment,23
NJ,College Enrollment,31
NJ,Credit accumulation,2
NJ,Earnings,11
NJ,Earth/Space Sciences,1
NJ,Employment,20
NJ,English language arts achievement,4
NJ,General Literacy Achievement,4
NJ,General Mathematics Achievement,17
NJ,General science achievement ,1
NJ,Geometry and Measurement,1
NJ,High School Completion,9
NJ,"Industry-Recognized Credential, Certificate, or License",3
NJ,"Industry-recognized credential, certificate, or license completion",1
NJ,Instructional practice,1
NJ,Intrapersonal Competencies,12
NJ,"Knowledge, attitudes, & values",4
NJ,Life sciences,4
NJ,Number and Operations,2
NJ,Oral language,2
NJ,Phonological processing,1
NJ,Physical sciences,2
NJ,Print knowledge,3
NJ,Progressing in College,8
NJ,Progressing in school (secondary school),4
NJ,Reading achievement,3
NJ,Science Achievement,2
NJ,Social Studies Achievement,2
NJ,Student Discipline,12
NJ,Student progression,2
NJ,Teacher Practice,4
NJ,Teacher and leader effectiveness,8
NJ,Teacher instruction,2
NM,Academic achievement,4
NM,Access and enrollment,5
NM,Alphabetics,3
NM,Completing school,6
NM,Comprehension,3
NM,General Mathematics Achievement,11
NM,General academic achievement (high school),5
NM,Letter identification,2
NM,Phonology,1
NM,Reading achievement,35
NM,Science Achievement,125
NM,Word reading ,4
NV,Academic achievement,4
NV,General Mathematics Achievement,58
NY,Academic achievement,21
NY,Access and enrollment,12
NY,Alphabetics,28
NY,College Degree Attainment,60
NY,College Enrollment,78
NY,Completing school,8
NY,Comprehension,13
NY,Credit accumulation,3
NY,Credit accumulation and persistence,15
NY,Earnings,11
NY,Earth/Space Sciences,1
NY,Employment,20
NY,English language arts achievement,20
NY,English language proficiency,2
NY,General Literacy Achievement,11
NY,General Mathematics Achievement,197
NY,General science achievement ,1
NY,Geometry and Measurement,1
NY,High School Completion,9
NY,"Industry-Recognized Credential, Certificate, or License",3
NY,"Industry-recognized credential, certificate, or license completion",2
NY,Intrapersonal Competencies,14
NY,"Knowledge, attitudes, & values",4
NY,Language,6
NY,Life sciences,4
NY,Literacy Achievement,10
NY,Mathematics,7
NY,Medium-Term Earnings,1
NY,Medium-Term Employment,2
NY,Number and Operations,2
NY,Oral language,2
NY,Phonological processing,1
NY,Physical sciences,2
NY,Print knowledge,3
NY,Progress in developmental education,7
NY,Progressing in College,32
NY,Progressing in school (secondary school),7
NY,Progressing in secondary school or adult education,1
NY,Reading & Literacy Related,9
NY,Reading Comprehension,9
NY,Reading Fluency,11
NY,Reading achievement,113
NY,School Attendance,1
NY,School leader retention at the school,1
NY,Science Achievement,4
NY,Secondary school attendance,2
NY,Self-regulation,1
NY,Short-Term Earnings,3
NY,Short-Term Employment,8
NY,Social Studies Achievement,4
NY,Social-Emotional Learning,2
NY,Student Behavior,2
NY,Student Discipline,13
NY,Student engagement in school,1
NY,Student progression,2
NY,Teacher Practice,4
NY,Teacher and leader effectiveness,8
NY,Writing Quality,1
OH,Academic achievement,6
OH,Access and enrollment,5
OH,Alphabetics,16
OH,Attainment,3
OH,College Degree Attainment,61
OH,College Enrollment,81
OH,College Readiness,1
OH,Completing school,4
OH,Comprehension,10
OH,Credit accumulation,5
OH,Earnings,11
OH,Educator discipline practice,1
OH,Employment,20
OH,Financial aid enrollment,7
OH,General Literacy Achievement,1
OH,General Mathematics Achievement,23
OH,Graduating school,1
OH,High School Completion,9
OH,"Industry-Recognized Credential, Certificate, or License",3
OH,Intrapersonal Competencies,12
OH,"Knowledge, attitudes, & values",5
OH,Labor market outcomes,5
OH,Language,1
OH,Language development,1
OH,Literacy Achievement,1
OH,Mathematics,2
OH,Postsecondary degree attainment,3
OH,Progressing in College,12
OH,Progressing in school,1
OH,Progressing in school (secondary school),4
OH,Reading & Literacy Related,1
OH,Reading achievement,1
OH,Reading and listening comprehension,1
OH,Receptive Communication,1
OH,Short-Term Earnings,2
OH,Short-Term Employment,2
OH,Student Discipline,12
OH,Teacher Retention in the School,5
OH,Teacher and leader effectiveness,8
OH,Teacher retention in the profession,5
OH,Teacher retention in the school district,5
OH,Vocabulary,1
OH,Word reading ,1
OH,Writing Conventions,1
OH,Writing Quality,3
OK,College Degree Attainment,22
OK,College Enrollment,25
OK,Comprehension,1
OK,Earnings,11
OK,Employment,20
OK,English language arts achievement,4
OK,General Mathematics Achievement,100
OK,High School Completion,9
OK,"Industry-Recognized Credential, Certificate, or License",3
OK,Intrapersonal Competencies,12
OK,Progressing in school (secondary school),4
OK,Reading achievement,91
OK,Student Discipline,12
OK,Writing Conventions,1
OK,Writing Quality,3
OR,Academic achievement,22
OR,Alphabetics,4
OR,Cognition,1
OR,College Degree Attainment,22
OR,College Enrollment,25
OR,Completing school,1
OR,Compliant Student Behavior,2
OR,Comprehension,5
OR,Earnings,11
OR,Employment,20
OR,External behavior,2
OR,General Literacy Achievement,3
OR,General Mathematics Achievement,15
OR,High School Completion,9
OR,"Industry-Recognized Credential, Certificate, or License",3
OR,Intrapersonal Competencies,12
OR,Letter identification,2
OR,Number and Operations,4
OR,Other academic performance,1
OR,Phonology,1
OR,Problem behavior,5
OR,Progressing in College,4
OR,Progressing in school,2
OR,Progressing in school (secondary school),4
OR,Reading Comprehension,1
OR,Reading Fluency,2
OR,Reading achievement,3
OR,School engagement,8
OR,Self-care/daily living,1
OR,Social outcomes,1
OR,Social-emotional competence,15
OR,Staying in School,2
OR,Student Behavior,9
OR,Student Discipline,16
OR,Student social functioning,7
OR,Word reading ,6
PA,Academic achievement,40
PA,Access and enrollment,15
PA,Alphabetics,7
PA,Attainment,14
PA,Behavior,2
PA,Cognition,9
PA,College Degree Attainment,29
PA,College Enrollment,30
PA,College Readiness,2
PA,Completing school,13
PA,Comprehension,5
PA,Credit accumulation,5
PA,Earnings,16
PA,Earth/Space Sciences,1
PA,Emotional/internal behavior,2
PA,Employment,30
PA,English language arts achievement,8
PA,Expressive Communication,4
PA,External behavior,11
PA,Functional Skills,16
PA,General Literacy Achievement,2
PA,General Mathematics Achievement,113
PA,General science achievement ,1
PA,Geometry and Measurement,1
PA,Graduating school,1
PA,High School Completion,16
PA,"Industry-Recognized Credential, Certificate, or License",3
PA,Intrapersonal Competencies,14
PA,"Knowledge, attitudes, & values",5
PA,Labor market outcomes,15
PA,Language,5
PA,Life sciences,4
PA,Number and Operations,2
PA,Numbers and Operations,3
PA,Physical sciences,2
PA,Progressing in College,30
PA,Progressing in school,11
PA,Progressing in school (secondary school),5
PA,Reading Comprehension,4
PA,Reading achievement,94
PA,Receptive Communication,5
PA,Science Achievement,3
PA,Secondary school academic achievement,1
