state_abbr,i_InterventionID,i_Intervention_Name,findings_n,studies_n,weighted_outcome_sample,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index,intervention_name
FL,733.0,Reading Plus®,1,1,13128.0,0.0557537309467481,0.0557537309467481,100.0,2.0,Reading Plus®
FL,742.0,READ 180®,3,1,187.33333333333331,0.34881339986456966,0.237108477373884,100.0,13.0,READ 180®
FL,753.0,I CAN Learn®,8,1,17662.0,0.0472328440530477,0.0943472755050268,60.0,2.0,I CAN Learn®
FL,784.0,Great Explorations in Math and Science (GEMS) Space Science Sequence,1,1,2594.0,,,,7.0,Great Explorations in Math and Science (GEMS) Space Science Sequence
FL,790.0,LANGUAGE!®,2,1,1272.0,,,,-2.5,LANGUAGE!®
FL,797.0,Linked Learning Communities,14,1,8918.0,0.0925004791303219,0.0925004791303219,100.0,1.0,Linked Learning Communities
FL,818.0,Cognitive Tutor Algebra I,2,1,750.0,-0.07870075088132886,-0.07870075088132886,50.0,-3.0,Cognitive Tutor Algebra I
FL,1077.0,Xtreme Reading,7,1,1167.4444444444443,0.04607932929627497,0.0417442521507802,100.0,1.7142857142857142,Xtreme Reading
FL,1166.0,National Board for Professional Teaching Standards (NBPTS) Certification,1,1,3592.0,0.0111279318167103,0.0111279318167103,100.0,0.0,National Board for Professional Teaching Standards (NBPTS) Certification
FL,1175.0,Math Expressions,9,1,1513.5,0.05732518513555702,0.0275963385712838,88.88888888888889,2.2222222222222223,Math Expressions
FL,1241.0,Functional Behavioral Assessment-based Interventions,2,1,2.0,,,,,Functional Behavioral Assessment-based Interventions
FL,1292.0,Self-Regulated Strategy Development,1,1,4.0,,,,,Self-Regulated Strategy Development
FL,1326.0,I CAN Learn® Algebra,3,1,1372.0,0.17814619324936048,0.17814619324936048,100.0,7.0,I CAN Learn® Algebra
FL,1623.0,Single Stop,4,1,9621.0,0.0839547112438706,0.0593227093463462,75.0,3.5,Single Stop
GA,17.0,Saxon Math,1,1,46.5625,0.112191716858976,0.112191716858976,100.0,4.0,Saxon Math
GA,19.0,Knowledge is Power Program (KIPP),41,3,40290.8455988456,0.19953975181199887,0.175708448371066,100.0,7.878048780487805,Knowledge is Power Program (KIPP)
GA,99.0,ACT/SAT Test Preparation and Coaching Programs,1,1,70.0,0.485168766157015,0.485168766157015,100.0,19.0,ACT/SAT Test Preparation and Coaching Programs
GA,214.0,Success for All®,10,1,875.5833333333333,0.15719305656822333,0.206750183071705,57.14285714285714,5.9,Success for All®
GA,232.0,Open Court Reading©,2,1,266.0,0.225892052244969,0.225892052244969,100.0,8.0,Open Court Reading©
GA,309.0,Accelerated Math® ,8,1,280.54166666666663,0.2946,0.249,100.0,11.6,Accelerated Math® 
GA,393.0,National Guard Youth ChalleNGe Program,1,1,119.60000000000001,,,,23.0,National Guard Youth ChalleNGe Program
GA,483.0,Creative Curriculum for Preschool,9,1,760.5,-0.020522128170763387,-0.0414572930689729,44.44444444444444,-0.3333333333333333,Creative Curriculum for Preschool
GA,623.0,JOBSTART,4,1,431.22222222222223,,,,13.75,JOBSTART
GA,646.0,Accelerated Middle Schools,2,1,280.0,1.54813350719971,1.54813350719971,100.0,32.5,Accelerated Middle Schools
GA,726.0,Project CRISS®,3,1,578.125,-0.0166493649416042,-0.0321735993734571,33.33333333333333,-0.6666666666666666,Project CRISS®
GA,742.0,READ 180®,3,1,187.33333333333331,0.34881339986456966,0.237108477373884,100.0,13.0,READ 180®
GA,750.0,Core-Plus Mathematics,9,1,462.72727272727275,0.3750378161015652,0.289480191481847,77.77777777777779,13.0,Core-Plus Mathematics
GA,814.0,Summer Counseling,20,1,7115.0,0.06652589711733413,0.12783138924898851,80.0,2.9,Summer Counseling
GA,1194.0,Integrated Basic Education and Skills Training (I-BEST),5,1,1294.25,0.357605673807994,0.357605673807994,100.0,5.8,Integrated Basic Education and Skills Training (I-BEST)
GA,1287.0,Leveled Literacy Intervention,34,1,1953.5,0.3231532575010971,0.24895804886850098,97.05882352941177,11.911764705882353,Leveled Literacy Intervention
GA,1581.0,Year Up,1,1,232.375,1.0008220792979,1.0008220792979,100.0,34.0,Year Up
HI,208.0,Positive Action (PA),10,1,23940.0,,,,17.8,Positive Action (PA)
HI,818.0,Cognitive Tutor Algebra I,1,1,344.0,-0.176474395175307,-0.176474395175307,0.0,-7.0,Cognitive Tutor Algebra I
IA,309.0,Accelerated Math® ,8,1,280.54166666666663,0.2946,0.249,100.0,11.6,Accelerated Math® 
IA,750.0,Core-Plus Mathematics,9,1,462.72727272727275,0.3750378161015652,0.289480191481847,77.77777777777779,13.0,Core-Plus Mathematics
ID,232.0,Open Court Reading©,2,1,266.0,0.225892052244969,0.225892052244969,100.0,8.0,Open Court Reading©
ID,309.0,Accelerated Math® ,8,1,280.54166666666663,0.2946,0.249,100.0,11.6,Accelerated Math® 
ID,750.0,Core-Plus Mathematics,9,1,462.72727272727275,0.3750378161015652,0.289480191481847,77.77777777777779,13.0,Core-Plus Mathematics
IL,6.0,Teach for America (TFA),2,1,571.6666666666666,0.09274873159973471,0.09274873159973471,100.0,3.5,Teach for America (TFA)
