f_FindingID,s_StudyID,state_abbr,region_name,analysis_year,saipe_child_poverty_rate_state,saipe_median_income_state,saipe_child_poverty_rate_region,saipe_median_income_region,saipe_child_poverty_rate_ctx,saipe_median_income_ctx
1531,29243,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
1518,29243,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
1519,29243,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
1527,29243,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
1521,29243,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
1522,29243,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
1523,29243,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
500,75498,TN,South,2008,0.218,43610.0,0.21135294117647055,48053.0,0.218,43610.0
501,75498,TN,South,2008,0.218,43610.0,0.21135294117647055,48053.0,0.218,43610.0
502,75498,TN,South,2008,0.218,43610.0,0.21135294117647055,48053.0,0.218,43610.0
489,75498,TN,South,2008,0.218,43610.0,0.21135294117647055,48053.0,0.218,43610.0
490,75498,TN,South,2008,0.218,43610.0,0.21135294117647055,48053.0,0.218,43610.0
499,75498,TN,South,2008,0.218,43610.0,0.21135294117647055,48053.0,0.218,43610.0
495,75498,TN,South,2008,0.218,43610.0,0.21135294117647055,48053.0,0.218,43610.0
496,75498,TN,South,2008,0.218,43610.0,0.21135294117647055,48053.0,0.218,43610.0
497,75498,TN,South,2008,0.218,43610.0,0.21135294117647055,48053.0,0.218,43610.0
513,29247,FL,Northeast,2008,0.184,47802.0,0.14166666666666666,58550.444444444445,0.184,47802.0
514,29247,FL,Northeast,2008,0.184,47802.0,0.14166666666666666,58550.444444444445,0.184,47802.0
515,29247,FL,Northeast,2008,0.184,47802.0,0.14166666666666666,58550.444444444445,0.184,47802.0
504,29247,FL,Northeast,2008,0.184,47802.0,0.14166666666666666,58550.444444444445,0.184,47802.0
505,29247,FL,Northeast,2008,0.184,47802.0,0.14166666666666666,58550.444444444445,0.184,47802.0
511,29247,FL,Northeast,2008,0.184,47802.0,0.14166666666666666,58550.444444444445,0.184,47802.0
507,29247,FL,Northeast,2008,0.184,47802.0,0.14166666666666666,58550.444444444445,0.184,47802.0
508,29247,FL,Northeast,2008,0.184,47802.0,0.14166666666666666,58550.444444444445,0.184,47802.0
509,29247,FL,Northeast,2008,0.184,47802.0,0.14166666666666666,58550.444444444445,0.184,47802.0
1573,29250,FL,South,2008,0.184,47802.0,0.21135294117647055,48053.0,0.184,47802.0
1574,29250,FL,South,2008,0.184,47802.0,0.21135294117647055,48053.0,0.184,47802.0
1575,29250,FL,South,2008,0.184,47802.0,0.21135294117647055,48053.0,0.184,47802.0
1559,29250,FL,South,2008,0.184,47802.0,0.21135294117647055,48053.0,0.184,47802.0
